"label","jobId","state","exitCode","account","partition","cpus","restarts","elapsedSeconds"
"27061644_255","27066681","COMPLETED","0:0","pi_jss233","day","1","0","404"
"27061644_256","27066682","COMPLETED","0:0","pi_jss233","day","1","0","506"
"27061644_257","27066683","COMPLETED","0:0","pi_jss233","day","1","0","752"
"27061644_258","27066685","COMPLETED","0:0","pi_jss233","day","1","0","826"
"27061644_259","27066687","COMPLETED","0:0","pi_jss233","day","1","0","778"
"27061644_260","27066688","COMPLETED","0:0","pi_jss233","day","1","0","392"
"27061644_261","27066690","COMPLETED","0:0","pi_jss233","day","1","0","413"
"27061644_262","27066692","COMPLETED","0:0","pi_jss233","day","1","0","485"
"27061644_263","27066694","COMPLETED","0:0","pi_jss233","day","1","0","471"
"27061644_264","27066698","COMPLETED","0:0","pi_jss233","day","1","0","405"
"27061644_265","27066699","COMPLETED","0:0","pi_jss233","day","1","0","448"
"27061644_266","27066700","COMPLETED","0:0","pi_jss233","day","1","0","532"
"27061644_267","27066701","COMPLETED","0:0","pi_jss233","day","1","0","399"
"27061644_268","27066702","COMPLETED","0:0","pi_jss233","day","1","0","775"
"27061644_269","27066719","COMPLETED","0:0","pi_jss233","day","1","0","378"
"27061644_270","27066720","COMPLETED","0:0","pi_jss233","day","1","0","374"
"27061644_271","27066722","COMPLETED","0:0","pi_jss233","day","1","0","527"
"27061644_272","27066723","COMPLETED","0:0","pi_jss233","day","1","0","349"
"27061644_273","27066727","COMPLETED","0:0","pi_jss233","day","1","0","735"
"27061644_274","27066743","COMPLETED","0:0","pi_jss233","day","1","0","315"
"27061644_275","27066861","COMPLETED","0:0","pi_jss233","day","1","0","534"
"27061644_276","27066862","COMPLETED","0:0","pi_jss233","day","1","0","487"
"27061644_277","27066863","COMPLETED","0:0","pi_jss233","day","1","0","372"
"27061644_278","27066864","COMPLETED","0:0","pi_jss233","day","1","0","378"
"27061644_279","27066865","COMPLETED","0:0","pi_jss233","day","1","0","398"
"27061644_280","27066866","COMPLETED","0:0","pi_jss233","day","1","0","981"
"27061644_281","27066867","COMPLETED","0:0","pi_jss233","day","1","0","738"
"27061644_282","27066868","COMPLETED","0:0","pi_jss233","day","1","0","865"
"27061644_283","27066869","COMPLETED","0:0","pi_jss233","day","1","0","872"
"27061644_284","27067031","COMPLETED","0:0","pi_jss233","day","1","0","398"
"27061644_285","27067032","COMPLETED","0:0","pi_jss233","day","1","0","452"
"27061644_286","27067035","COMPLETED","0:0","pi_jss233","day","1","0","990"
"27061644_287","27067036","COMPLETED","0:0","pi_jss233","day","1","0","813"
"27061644_288","27067038","COMPLETED","0:0","pi_jss233","day","1","0","245"
"27061644_289","27067039","COMPLETED","0:0","pi_jss233","day","1","0","613"
