"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"62","fresh-dual-v1-0062","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","1","31","central:hfo-le:0:3:1","3765000031","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"63","fresh-dual-v1-0063","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","1","31","central:hfo-le:0:3:1","3765000031","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"64","fresh-dual-v1-0064","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","2","32","central:hfo-le:0:3:2","3765000032","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"65","fresh-dual-v1-0065","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","2","32","central:hfo-le:0:3:2","3765000032","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"66","fresh-dual-v1-0066","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","3","33","central:hfo-le:0:3:3","3765000033","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"67","fresh-dual-v1-0067","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","3","33","central:hfo-le:0:3:3","3765000033","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"68","fresh-dual-v1-0068","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","4","34","central:hfo-le:0:3:4","3765000034","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"69","fresh-dual-v1-0069","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","4","34","central:hfo-le:0:3:4","3765000034","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"70","fresh-dual-v1-0070","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","5","35","central:hfo-le:0:3:5","3765000035","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"71","fresh-dual-v1-0071","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","5","35","central:hfo-le:0:3:5","3765000035","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"72","fresh-dual-v1-0072","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","6","36","central:hfo-le:0:3:6","3765000036","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"73","fresh-dual-v1-0073","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","6","36","central:hfo-le:0:3:6","3765000036","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"74","fresh-dual-v1-0074","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","7","37","central:hfo-le:0:3:7","3765000037","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"75","fresh-dual-v1-0075","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","7","37","central:hfo-le:0:3:7","3765000037","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"76","fresh-dual-v1-0076","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","8","38","central:hfo-le:0:3:8","3765000038","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"77","fresh-dual-v1-0077","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","8","38","central:hfo-le:0:3:8","3765000038","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"78","fresh-dual-v1-0078","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","9","39","central:hfo-le:0:3:9","3765000039","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"79","fresh-dual-v1-0079","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","9","39","central:hfo-le:0:3:9","3765000039","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"80","fresh-dual-v1-0080","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","0","40","central:hfo-le:1:0:0","3765000040","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"81","fresh-dual-v1-0081","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","0","40","central:hfo-le:1:0:0","3765000040","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
